concurso,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,bola16
95,1,2,3,4,7,8,9,10,11,12,15,16,17,18,20,23
96,1,4,5,7,8,10,12,14,15,17,18,19,20,22,23,25
97,4,5,6,7,8,9,11,13,14,16,17,18,19,22,23,25
98,1,2,5,6,8,9,10,11,15,16,17,19,20,22,23,25
99,2,4,6,7,8,10,11,13,14,16,17,19,20,21,22,25
100,1,5,7,8,9,10,11,12,14,15,18,19,20,22,23,24
101,1,4,6,7,9,10,12,13,15,16,18,19,22,23,24,25
102,3,5,6,8,9,10,12,13,14,16,17,18,20,21,24,25
103,1,2,5,6,7,8,10,13,14,15,16,18,21,22,24,25
104,1,5,6,7,8,10,12,13,14,17,18,19,22,23,24,25
105,3,4,5,7,8,10,11,14,15,16,18,19,21,23,24,25
106,2,3,6,7,9,10,13,14,15,16,17,18,20,21,22,24
107,2,3,5,8,9,10,12,14,16,18,19,21,22,23,24,25
108,2,3,4,5,6,8,9,10,11,13,15,16,18,19,20,23
109,2,3,4,7,8,10,12,13,14,15,17,18,20,21,22,25
110,1,2,3,5,10,11,13,16,17,18,20,21,22,23,24,25
111,1,2,3,4,7,8,10,11,12,13,14,16,19,20,22,25
112,1,3,4,5,6,7,9,11,12,16,19,21,22,23,24,25
113,1,4,5,8,9,11,12,13,15,16,17,19,21,22,24,25
114,3,4,9,11,12,13,15,16,17,18,19,21,22,23,24,25
115,1,2,3,4,8,9,11,14,15,16,17,19,20,23,24,25
116,1,2,3,5,7,8,9,10,11,15,17,18,19,20,22,23
117,1,2,3,4,6,7,8,10,12,14,15,17,19,20,24,25
118,2,3,6,9,10,12,13,15,16,17,18,19,20,21,24,25
119,1,2,3,4,5,7,9,12,17,18,19,21,22,23,24,25
120,3,5,7,9,10,11,12,13,14,15,16,17,21,22,23,25
121,1,2,3,4,8,9,12,14,15,17,18,19,20,21,22,25
122,1,2,3,4,5,8,9,11,12,13,15,16,18,22,23,24
123,1,4,6,7,9,10,11,13,14,15,16,17,19,22,23,25
124,3,6,7,8,9,10,11,13,14,15,16,17,18,19,23,24
125,2,3,4,5,6,7,11,13,15,16,17,18,20,21,22,23
126,3,5,6,7,8,9,10,12,13,15,18,19,20,21,22,24
127,2,3,5,6,7,8,12,14,15,17,18,19,21,22,23,24
128,1,3,4,6,7,8,9,10,11,13,15,16,17,20,23,24
129,1,3,4,5,7,9,11,12,13,14,17,19,20,21,24,25
130,1,3,8,10,11,12,13,14,15,16,17,18,19,21,23,25
131,2,4,5,7,9,10,11,12,13,16,17,19,20,22,23,24
132,1,2,3,4,5,7,9,10,13,15,19,20,21,22,23,24
133,3,4,5,7,8,9,10,11,13,14,19,20,21,22,23,25
134,1,3,5,7,9,10,11,12,13,14,15,16,17,18,22,25
135,2,3,4,5,7,8,9,10,11,13,14,17,21,22,23,24
136,2,4,5,9,10,11,12,13,14,16,17,18,19,22,23,24
137,1,4,5,6,8,9,10,11,14,15,18,19,21,22,23,25
138,1,2,3,5,6,9,10,11,12,13,14,15,16,20,23,24
139,2,3,4,5,6,7,9,10,11,15,16,17,18,19,20,24
140,1,2,3,4,6,7,8,9,10,11,14,17,18,21,22,24
141,2,4,5,6,8,9,10,11,14,15,16,18,21,22,24,25
142,1,4,6,7,8,9,12,13,14,15,17,19,20,22,23,25
143,1,2,3,7,9,10,11,12,15,17,18,20,21,22,23,25
144,1,2,4,6,7,8,9,10,12,14,16,20,21,22,24,25
145,1,2,3,4,8,9,10,11,14,15,20,21,22,23,24,25
146,1,2,3,4,6,7,9,10,12,14,16,19,21,22,24,25
147,1,3,4,6,8,12,15,16,17,18,19,21,22,23,24,25
148,2,4,5,6,7,9,10,11,13,14,18,19,21,22,23,25
149,1,5,7,8,9,10,11,12,15,16,17,20,21,22,23,25
150,1,4,6,7,8,9,13,14,15,16,17,18,20,22,23,24
151,1,3,4,6,9,12,14,15,16,17,19,21,22,23,24,25
152,4,6,7,8,10,13,14,15,16,18,20,21,22,23,24,25
153,1,2,4,6,7,8,10,13,14,16,17,18,19,21,23,25
154,1,2,3,4,5,6,7,8,10,11,12,14,18,21,22,25
155,1,2,3,4,6,7,8,9,10,11,15,16,18,19,21,23
156,1,2,4,5,6,7,9,10,12,14,16,19,20,21,22,23
157,1,3,5,6,7,9,10,13,14,16,17,18,19,20,21,22
158,1,2,3,6,7,8,10,11,12,13,17,18,19,20,24,25
159,1,3,4,5,6,8,9,10,12,13,14,17,18,20,21,24
160,1,2,3,4,6,9,11,12,16,17,18,19,20,22,23,24
161,1,4,5,6,7,8,9,11,13,17,18,20,21,23,24,25
162,1,2,3,5,7,9,10,12,13,15,16,17,19,21,22,24
163,1,2,3,4,6,7,10,11,13,14,16,17,19,20,22,23
164,2,3,4,5,6,10,11,16,17,18,19,20,21,23,24,25
165,1,2,3,4,5,8,9,10,12,13,18,19,20,22,23,25
166,1,4,6,7,9,11,13,14,15,16,17,18,19,20,22,23
167,1,2,3,4,8,11,12,15,16,17,18,19,21,22,23,25
168,1,2,4,5,8,10,11,13,14,15,19,20,21,22,23,25
169,1,2,3,9,10,11,12,14,15,16,17,18,20,21,23,25
170,2,3,4,5,7,9,11,13,16,17,18,21,22,23,24,25
171,1,2,3,4,7,8,9,10,11,14,15,18,21,22,23,25
172,1,2,3,5,7,9,10,11,13,15,17,20,21,22,23,25
173,1,2,3,4,5,6,8,9,12,13,15,16,17,18,19,25
174,3,4,5,6,7,8,9,10,12,13,14,16,20,21,22,23
175,2,4,6,10,11,12,13,14,15,16,17,18,19,20,22,25
176,2,5,6,8,9,10,11,14,15,16,17,18,20,21,23,25
177,2,3,5,6,7,9,12,14,15,16,17,20,21,22,23,25
178,2,5,7,8,9,10,11,12,13,16,19,20,21,23,24,25
179,2,3,4,5,7,8,9,11,13,17,19,20,21,22,23,25
180,1,2,3,4,7,8,9,10,11,12,13,15,16,19,21,22
181,1,2,4,6,7,8,9,10,14,16,18,19,20,21,24,25
182,1,3,4,6,8,9,10,13,14,15,16,17,19,22,23,25
183,1,2,3,5,6,7,8,10,15,17,18,19,21,23,24,25
184,1,2,4,5,8,9,10,11,12,14,16,19,21,22,23,24
185,2,5,6,7,8,10,11,12,14,16,17,18,19,20,21,23
186,1,2,3,4,6,7,9,12,13,14,15,17,19,22,24,25
187,2,3,4,6,8,9,12,14,16,17,18,20,22,23,24,25
188,3,4,6,7,8,9,10,11,12,14,17,18,19,20,24,25
189,1,3,4,5,7,8,11,12,15,17,18,19,20,21,22,24
190,2,3,9,10,12,13,14,15,16,18,19,20,22,23,24,25
191,1,3,4,7,9,10,12,13,16,17,18,19,20,21,24,25
192,2,3,4,5,6,7,10,11,12,14,15,18,19,22,23,24
193,1,2,3,4,5,7,9,10,11,12,16,19,21,22,24,25
194,1,3,5,8,9,10,12,13,14,16,20,21,22,23,24,25
195,2,3,5,7,9,11,13,14,16,17,18,19,21,23,24,25
196,1,3,4,6,7,8,10,11,12,13,14,19,21,22,23,25
197,2,4,5,6,9,11,12,13,14,16,18,20,21,23,24,25
198,1,2,3,4,5,7,8,9,11,13,16,21,22,23,24,25
199,1,3,5,7,8,11,13,14,15,16,17,18,19,20,21,24
200,2,4,8,9,10,11,14,15,16,19,20,21,22,23,24,25
201,1,2,3,5,10,12,13,14,15,16,17,18,20,21,23,25
202,2,4,5,7,9,11,12,14,15,18,20,21,22,23,24,25
203,1,3,7,8,9,10,11,14,15,17,18,19,20,21,22,25
204,1,6,8,9,10,11,13,14,15,17,18,19,20,21,23,24
205,1,2,3,4,6,8,10,12,13,15,16,17,19,21,22,23
206,1,6,7,8,9,10,11,12,13,15,16,18,19,21,24,25
207,2,4,5,6,8,11,12,13,15,17,18,19,20,21,22,24
208,1,2,3,4,6,7,8,9,12,13,17,18,19,20,23,25
209,1,2,4,5,6,8,9,10,11,12,13,15,17,18,20,25
210,3,5,6,9,10,12,13,14,16,19,20,21,22,23,24,25
211,2,3,5,6,7,8,9,11,13,14,18,19,20,22,23,25
212,1,3,4,5,8,9,10,12,13,15,17,19,20,23,24,25
213,1,2,4,6,7,8,10,11,12,13,15,17,18,21,23,24
214,1,3,4,6,7,8,9,11,15,16,17,18,20,21,22,24
215,1,3,4,6,7,9,11,12,13,14,16,19,20,21,22,23
216,1,2,4,5,6,9,10,13,14,17,18,19,20,22,24,25
217,2,5,7,9,10,13,14,15,16,17,18,21,22,23,24,25
218,2,3,4,5,8,10,11,12,16,17,19,20,21,22,23,24
219,2,3,4,5,6,8,10,11,12,14,16,17,18,21,22,24
220,2,3,5,6,7,8,9,10,11,14,17,19,21,22,23,25
221,2,4,5,7,8,9,10,12,13,15,16,17,19,21,22,24
222,1,2,4,5,6,7,8,10,12,15,16,17,19,21,24,25
223,1,2,4,5,6,7,9,11,13,14,15,19,20,21,24,25
224,2,3,5,6,8,9,10,12,14,15,17,18,19,20,21,23
225,4,5,6,8,9,11,12,13,14,16,17,20,21,22,23,24
226,1,2,4,5,6,7,8,9,10,12,13,15,19,21,23,24
227,1,2,3,4,5,6,7,8,10,12,13,15,16,20,23,24
228,3,5,6,7,8,9,10,14,15,16,17,19,20,21,22,24
229,1,4,5,6,7,8,9,12,13,14,16,17,18,20,21,23
230,2,3,4,5,7,13,14,15,16,17,18,19,20,22,23,25
231,1,2,3,4,7,8,10,13,14,15,16,17,18,22,23,25
232,1,2,3,4,7,8,9,12,13,14,18,20,21,22,24,25
233,2,3,4,7,10,11,12,14,17,18,20,21,22,23,24,25
234,3,4,5,7,8,9,11,13,14,17,18,19,20,22,23,25
235,3,8,9,11,13,14,15,16,17,18,19,20,21,23,24,25
236,2,4,6,7,8,10,11,13,14,16,17,18,19,20,24,25
237,2,4,5,6,7,8,9,11,12,15,17,18,20,21,22,23
238,1,2,3,6,7,8,10,13,15,16,17,18,20,21,22,24
239,1,2,3,5,6,11,12,13,15,16,17,18,20,22,23,25
240,1,2,3,4,6,7,8,9,11,12,13,16,18,22,23,25
241,1,2,3,4,6,7,8,9,10,13,15,16,17,21,22,25
242,3,6,8,10,11,12,13,14,15,16,17,18,21,22,23,25
243,1,3,4,7,8,9,10,11,14,16,19,20,21,22,24,25
244,1,2,4,5,6,7,8,9,13,15,16,18,20,22,23,24
245,1,2,4,5,6,8,11,12,14,15,17,18,19,23,24,25
246,4,6,9,10,11,12,15,16,17,19,20,21,22,23,24,25
247,1,3,5,6,8,9,11,12,13,14,15,16,19,20,22,23
248,2,4,5,6,7,8,11,12,15,17,18,21,22,23,24,25
249,3,4,6,9,10,11,13,14,15,17,18,19,20,21,22,24
250,1,4,5,6,8,9,10,15,16,17,18,19,20,22,23,24
251,1,3,6,7,9,10,11,12,13,14,15,16,20,22,23,24
252,2,4,5,6,7,8,10,11,12,14,15,16,17,21,22,23
253,1,2,3,4,5,6,8,10,11,12,13,14,16,19,21,24
254,2,4,6,9,10,11,13,14,15,16,19,20,21,22,23,24
255,1,2,7,9,10,11,12,13,15,16,19,21,22,23,24,25
256,1,3,4,8,10,11,13,14,15,17,18,19,20,23,24,25
257,2,3,4,5,6,7,8,9,13,14,17,18,19,21,22,25
258,1,2,4,5,6,7,12,13,15,19,20,21,22,23,24,25
259,1,5,7,8,9,10,11,12,13,14,16,17,20,22,24,25
260,1,4,5,6,9,12,15,16,17,18,19,20,21,23,24,25
261,1,2,3,7,8,9,11,12,15,16,19,20,21,22,23,24
262,2,4,5,6,7,8,10,11,14,15,17,18,19,22,23,24
263,1,2,4,8,9,10,11,12,13,14,16,17,19,22,24,25
264,1,2,3,7,9,10,12,13,15,16,18,19,21,22,24,25
265,1,4,6,9,10,11,12,13,14,16,19,21,22,23,24,25
266,2,4,5,7,8,9,10,11,13,15,16,19,20,23,24,25
267,1,3,4,5,6,12,13,14,15,16,17,18,19,21,24,25
268,4,5,6,10,12,13,15,16,17,18,19,20,21,22,23,24
269,3,4,5,8,10,11,13,14,15,16,18,20,21,22,24,25
270,1,3,4,5,6,8,9,10,12,13,18,19,21,23,24,25
271,1,3,5,8,9,10,11,12,13,15,17,18,21,23,24,25
272,1,2,3,4,5,8,11,12,13,14,16,17,19,20,21,25
273,1,5,6,7,8,9,10,11,15,17,20,21,22,23,24,25
274,1,2,5,6,7,8,10,15,16,17,18,19,20,21,23,25
275,1,2,5,7,11,12,13,14,15,17,18,19,21,22,23,24
276,3,7,9,11,12,13,15,16,17,19,20,21,22,23,24,25
277,1,2,6,8,9,11,12,13,15,18,19,20,21,22,24,25
278,1,2,3,4,5,7,10,11,12,15,17,20,22,23,24,25
279,1,2,3,4,5,8,9,10,11,12,15,16,17,18,21,23
280,2,5,6,9,10,12,13,14,15,16,17,18,19,21,22,25
281,1,3,4,5,6,8,10,13,14,15,16,17,20,23,24,25
282,1,2,4,5,6,7,9,10,11,13,16,18,21,23,24,25
283,2,4,7,9,10,11,12,13,14,15,16,17,22,23,24,25
284,3,4,5,6,9,10,14,15,16,18,19,20,21,23,24,25
285,2,3,4,7,8,10,12,13,14,15,17,19,20,23,24,25
286,1,2,3,5,7,8,9,10,12,13,15,16,18,19,22,23
287,2,3,4,5,6,7,9,12,13,14,16,18,19,20,21,22
288,2,3,4,6,7,10,11,12,14,15,17,19,21,22,23,25
289,1,3,5,6,7,8,9,10,14,15,16,21,22,23,24,25
290,1,4,5,7,9,10,12,13,14,15,16,17,18,23,24,25
291,4,5,8,11,12,13,14,15,16,17,18,19,20,21,23,25
292,2,3,4,7,10,11,12,13,14,17,18,19,20,21,23,25
293,1,2,6,7,10,11,12,14,15,16,17,18,19,20,21,22
294,2,3,4,5,7,12,14,15,16,17,19,20,22,23,24,25
295,1,2,3,6,7,8,10,12,14,15,16,17,18,19,20,21
296,1,2,3,4,5,8,10,13,15,16,17,20,21,22,23,25
297,3,4,5,6,7,8,9,10,13,18,19,20,21,22,23,24
298,2,3,6,7,8,10,11,12,15,17,18,19,21,22,23,24
299,1,3,5,6,7,9,11,12,13,14,17,18,19,20,22,24
300,1,2,3,4,5,9,10,13,15,17,19,20,21,23,24,25
301,1,3,6,7,8,9,10,12,14,17,18,19,21,22,23,24
302,2,4,5,6,7,8,9,10,11,12,14,18,20,23,24,25
303,1,2,3,4,5,8,9,10,11,13,15,17,19,22,23,24
304,4,5,6,7,8,11,13,15,16,17,19,20,21,22,24,25
305,2,5,6,8,9,10,12,13,14,15,18,19,20,21,22,25
306,3,4,5,7,8,9,10,11,12,15,16,18,20,21,23,24
307,1,2,3,4,5,6,9,12,13,14,15,16,17,19,20,25
308,1,3,4,6,7,10,11,12,13,14,15,18,20,21,23,24
309,1,3,4,6,7,8,11,14,15,16,18,19,21,22,23,24
310,1,2,3,6,9,10,11,13,14,15,17,18,19,20,22,24
311,1,2,4,6,8,10,11,12,13,14,15,18,19,21,24,25
312,1,3,5,8,9,10,11,12,14,16,18,19,20,21,23,24
313,1,2,3,4,5,6,8,9,10,11,12,13,17,18,19,20
314,3,4,5,8,9,10,11,12,14,15,16,18,20,21,22,25
315,1,3,5,6,8,9,11,15,16,18,19,21,22,23,24,25
316,4,5,7,8,12,13,14,15,16,18,20,21,22,23,24,25
317,1,3,6,7,9,11,12,13,14,15,17,18,22,23,24,25
318,3,4,5,6,7,12,13,15,16,17,18,19,20,21,23,25
319,3,5,7,8,9,10,12,13,14,16,17,18,20,22,23,24
320,1,2,4,6,8,10,12,13,14,16,19,20,21,22,23,25
321,2,4,7,8,10,13,14,16,17,18,19,20,21,23,24,25
322,4,5,7,8,9,11,13,14,15,16,19,21,22,23,24,25
323,2,3,4,7,9,13,14,15,17,18,19,21,22,23,24,25
324,2,3,4,5,8,9,11,12,14,15,16,17,18,19,23,25
325,2,4,5,8,9,12,13,14,15,17,19,21,22,23,24,25
326,1,2,3,4,5,6,10,12,13,14,18,19,21,22,23,25
327,1,2,3,5,6,7,10,14,15,16,18,19,20,21,24,25
328,1,2,3,4,7,8,9,10,11,12,13,21,22,23,24,25
329,1,2,3,5,7,8,9,12,13,14,15,16,21,22,23,25
330,1,2,3,4,5,6,7,8,9,10,11,13,14,17,22,23
331,1,3,4,7,8,9,10,11,13,14,15,18,19,20,22,23
332,1,3,5,6,8,9,11,12,13,14,15,18,21,22,23,24
333,1,2,3,4,6,11,14,15,16,17,19,20,21,22,24,25
334,1,2,3,5,6,8,9,12,14,15,16,17,18,19,20,25
335,2,3,6,7,8,10,11,12,13,14,18,20,21,23,24,25
336,1,5,6,7,8,9,10,12,13,14,15,16,17,19,24,25
337,1,2,3,6,7,10,11,12,13,14,15,18,19,20,21,25
338,2,4,5,6,9,10,11,13,14,15,17,18,21,23,24,25
339,3,4,6,7,8,10,12,13,14,15,16,17,18,20,21,22
340,2,3,4,5,7,8,9,10,11,14,16,17,19,22,23,24
341,2,3,5,6,7,11,12,13,14,15,16,17,19,20,22,25
342,3,4,6,7,8,9,11,14,15,16,17,18,21,23,24,25
343,3,5,6,7,9,10,12,13,14,16,18,19,20,21,24,25
344,1,2,3,5,6,8,9,11,12,14,15,17,18,19,23,24
345,2,3,4,7,8,9,12,14,16,18,19,20,21,23,24,25
346,2,3,4,5,7,8,10,11,15,16,18,19,20,21,24,25
347,1,2,5,6,7,8,11,12,13,14,18,20,21,22,23,24
348,2,6,7,10,12,14,15,16,17,18,19,20,22,23,24,25
349,1,2,6,7,9,10,12,13,15,16,18,19,20,21,22,25
350,2,3,5,8,10,11,12,13,14,18,20,21,22,23,24,25
351,1,2,3,5,6,8,9,10,11,15,16,18,19,20,22,23
352,2,3,4,5,6,8,9,11,13,15,16,19,20,21,24,25
353,1,2,4,5,6,7,8,9,12,14,15,16,19,20,23,24
354,1,2,3,6,7,8,9,10,14,17,19,20,21,22,23,24
355,1,2,3,5,6,7,8,10,12,13,17,18,22,23,24,25
356,1,5,6,8,10,11,14,16,17,18,19,20,21,22,23,25
357,1,5,6,7,9,11,13,14,15,16,18,20,21,22,23,24
358,1,3,4,6,8,9,11,12,13,15,16,17,18,19,24,25
359,2,3,4,5,7,8,9,10,12,14,15,16,19,20,22,23
360,1,2,3,4,8,9,11,12,13,14,15,16,19,20,21,23
361,3,5,7,8,9,11,12,13,14,15,16,18,19,20,21,25
362,2,3,4,5,8,9,10,12,13,14,15,16,18,19,20,22
363,3,4,6,7,8,10,11,13,14,15,16,19,20,23,24,25
364,1,2,3,5,6,7,9,10,11,13,14,15,16,17,19,24
365,3,4,5,6,9,10,12,15,16,17,18,19,20,22,23,24
366,1,4,5,6,7,9,10,11,15,16,17,18,20,21,22,25
367,2,4,5,6,8,9,10,12,14,15,16,18,20,23,24,25
368,2,4,5,6,8,9,10,12,15,16,19,20,22,23,24,25
369,7,8,9,11,12,14,15,16,18,19,20,21,22,23,24,25
370,3,5,6,8,9,10,12,14,16,17,19,20,21,23,24,25
371,2,3,6,7,10,12,13,16,17,18,19,20,21,22,23,24
372,1,2,4,6,10,11,13,14,15,16,17,18,19,21,23,25
373,1,3,6,7,9,11,14,15,16,17,19,20,21,22,24,25
374,4,5,7,8,11,14,15,16,17,18,19,20,21,22,24,25
375,1,2,5,6,9,10,12,13,14,16,17,18,21,22,23,24
376,1,4,7,8,9,10,13,16,17,19,20,21,22,23,24,25
377,3,5,6,8,11,12,13,14,16,17,18,20,21,22,24,25
378,1,3,4,5,6,7,10,12,13,16,17,18,19,21,22,25
379,1,2,3,4,5,10,11,13,14,17,18,19,20,21,22,23
380,1,2,7,9,10,11,15,16,17,18,20,21,22,23,24,25
381,3,4,5,6,7,8,10,11,12,13,14,16,20,22,24,25
382,1,2,3,4,5,6,7,9,12,14,15,16,17,18,19,22
383,1,3,4,5,6,8,10,12,13,16,17,18,20,21,23,25
384,1,2,4,5,9,11,13,15,16,17,18,19,20,21,23,24
385,1,2,3,5,6,7,8,12,15,16,17,18,19,20,21,22
386,1,2,3,6,7,8,10,12,15,18,19,20,21,22,24,25
387,1,3,5,9,10,11,12,14,15,16,17,18,20,21,23,24
388,1,2,4,6,7,9,10,11,15,17,19,21,22,23,24,25
389,1,3,5,6,7,8,10,11,12,17,18,20,22,23,24,25
390,1,2,3,4,5,6,7,8,9,15,16,18,19,23,24,25
391,1,4,6,7,10,11,12,13,14,16,18,19,22,23,24,25
392,1,2,6,7,9,10,11,12,13,15,16,18,21,22,24,25
393,4,5,6,7,9,10,11,12,13,14,15,18,19,21,22,24
394,1,3,6,9,10,11,13,14,16,17,18,19,21,23,24,25
395,1,2,3,4,5,7,10,11,12,13,14,16,17,19,22,25
396,2,7,8,9,10,12,13,14,15,17,18,19,22,23,24,25
397,1,2,3,4,5,7,9,11,13,16,18,19,22,23,24,25
398,1,3,6,7,8,9,12,13,15,17,19,20,21,22,23,24
399,4,7,8,9,10,11,14,15,16,17,18,19,20,22,24,25
400,1,2,3,4,5,6,8,9,10,12,15,16,18,21,22,23
401,1,3,4,6,8,10,12,13,15,18,19,20,21,22,23,25
402,2,3,8,9,11,12,13,14,15,16,19,20,21,22,23,25
403,4,5,6,7,9,10,11,14,16,19,20,21,22,23,24,25
404,2,3,4,7,8,9,12,13,16,19,20,21,22,23,24,25
405,1,2,4,5,8,9,10,12,13,14,15,16,19,20,21,25
406,2,3,5,8,9,10,12,13,14,15,16,17,19,21,22,24
